 ,Area,Mean,Min,Max,Slice
776,283,4575.025,3383,6004,1
777,343,5416.015,3395,7555,1
778,292,5032.812,3389,6772,1
779,308,4524.971,3408,5999,1
780,345,4899.736,3395,6618,1
781,351,4537.661,3413,5617,1
782,489,5136.524,3382,6780,1
783,318,5514.613,3439,7220,1
784,402,4723.211,3400,6365,1
785,486,6486.747,3394,9050,1
786,275,5241.244,3386,7412,1
787,372,4442.368,3389,5408,1
788,285,5065.189,3395,7162,1
789,354,4218.393,3389,5654,1
790,295,4556.441,3398,5809,1
791,250,4038.976,3390,4791,1
792,492,5612.707,3427,7635,1
793,439,6376.100,3416,8909,1
794,336,5429.077,3399,7071,1
795,294,3938.187,3390,5000,1
796,377,4502.886,3388,5704,1
797,293,4374.164,3398,5753,1
798,301,4755.927,3399,6625,1
799,285,4006.639,3384,4854,1
800,354,4325.133,3383,5721,1
801,490,4428.229,3395,5627,1
802,325,3947.034,3383,4763,1
803,467,6696.167,3413,9864,1
804,489,6466.548,3424,9420,1
805,319,4472.498,3428,5691,1
806,308,4379.614,3387,5447,1
807,317,4425.937,3390,5967,1
808,294,4718.228,3404,5940,1
809,324,4143.460,3392,5589,1
810,436,4508.553,3382,5892,1
811,315,4379.705,3385,5805,1
812,474,6691.426,3399,9318,1
813,391,7972.560,3387,11677,1
814,382,4618.387,3386,6101,1
815,311,4545.193,3387,6295,1
816,303,4133.710,3388,5419,1
